"name" "mbid"
"82" "Hole" "1dcc8968-f2cd-441c-beda-6270f70f2863"
"83" "Oasis" "39ab1aed-75e0-4140-bd47-540276886b60"
"84" "Hole" "1dcc8968-f2cd-441c-beda-6270f70f2863"
"85" "Oasis" "39ab1aed-75e0-4140-bd47-540276886b60"
"86" "Tori Amos" "c0b2500e-0cef-4130-869d-732b23ed9df5"
"87" "Tori Amos" "c0b2500e-0cef-4130-869d-732b23ed9df5"
"88" "Hallucinogen" "37186f53-8d72-44e6-81e6-7dfd18223747"
"89" "Hallucinogen" "37186f53-8d72-44e6-81e6-7dfd18223747"
"90" "The Pretenders" "75ffaf7d-46ee-4794-a405-9ec20c0c1696"
"91" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"92" "The Pretenders" "75ffaf7d-46ee-4794-a405-9ec20c0c1696"
"93" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"94" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"95" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"96" "David Bowie" "5441c29d-3602-4898-b1a1-b77fa23b8e50"
"97" "X" "0fe27deb-0a55-443d-a304-86c761babc15"
"98" "David Bowie" "5441c29d-3602-4898-b1a1-b77fa23b8e50"
"99" "X" "0fe27deb-0a55-443d-a304-86c761babc15"
"100" "Brandi Carlile" "baf05baf-69fb-47dd-93c2-033536b8c385"
"101" "Brandi Carlile" "baf05baf-69fb-47dd-93c2-033536b8c385"
"102" "Metallica" "65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"103" "Metallica" "65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"104" "D<U+0027>Nell" "3062321c-f1c2-4655-9f58-3b62daddc7be"
"105" "D<U+0027>Nell" "3062321c-f1c2-4655-9f58-3b62daddc7be"
"106" "Sheryl Crow" "07934bbf-6dcf-443c-88c0-32d7fefa6b4f"
"107" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"108" "Sheryl Crow" "07934bbf-6dcf-443c-88c0-32d7fefa6b4f"
"109" "Bush" "6d6d62b2-cff7-447b-ab26-72910aa15c31"
"110" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"111" "Bush" "6d6d62b2-cff7-447b-ab26-72910aa15c31"
"112" "R.E.M." "ea4dfa26-f633-4da6-a52a-f49ea4897b58"
"113" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"114" "R.E.M." "ea4dfa26-f633-4da6-a52a-f49ea4897b58"
"115" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"116" "Green Day" "084308bd-1654-436f-ba03-df6697104e19"
"117" "Beyoncé" "183105b5-3e68-4748-9086-2c1c11bf7a3d"
"118" "Avenged Sevenfold" "24e1b53c-3085-4581-8472-0b0088d2508c"
"119" "Brandi Carlile" "baf05baf-69fb-47dd-93c2-033536b8c385"
"120" "Rush" "059afdf5-77e8-4e51-90f5-453b623232ec"
"121" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"122" "Michelle Featherstone" "f6de436d-83c3-4bae-818f-0eede941df81"
"123" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"124" "Michelle Featherstone" "f6de436d-83c3-4bae-818f-0eede941df81"
"125" "Miss Volatile" NA
"126" "Miss Volatile" NA
"127" "Deaf Pedestrians" "29395399-270e-4dd8-90af-1d361dbfbf45"
"128" "Deaf Pedestrians" "29395399-270e-4dd8-90af-1d361dbfbf45"
"129" "Buffy the Vampire Slayer" NA
"130" "Bolton, Matt" NA
"131" "Buffy the Vampire Slayer" NA
"132" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"133" "Bolton, Matt" NA
"134" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"135" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"136" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"137" "Metallica" "65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"138" "Metallica" "65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"139" "Metallica" "65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"140" "Mastodon" "89fb7996-5b39-49bb-88aa-546953d1d731"
"141" "Metallica" "65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"142" "Mastodon" "89fb7996-5b39-49bb-88aa-546953d1d731"
"143" "Marjorie Fair" "ca56e6bc-aca8-4209-878c-e32f0bb98437"
"144" "Lady Gaga" "650e7db6-b795-4eb5-a702-5ea2fc46c848"
"145" "Marjorie Fair" "ca56e6bc-aca8-4209-878c-e32f0bb98437"
"146" "Kronos Quartet" "f5586dfa-7031-4af0-8042-19b6a1170389"
"147" "Lady Gaga" "650e7db6-b795-4eb5-a702-5ea2fc46c848"
"148" "Kronos Quartet" "f5586dfa-7031-4af0-8042-19b6a1170389"
"149" "Jane<U+0027>s Addiction" NA
"150" "Idina Menzel" "929ca8c3-5df3-4fe9-bc59-f8d603780bce"
"151" "Jane<U+0027>s Addiction" NA
"152" "Idina Menzel" "929ca8c3-5df3-4fe9-bc59-f8d603780bce"
"153" "Adele" "1de93a63-3a9f-443a-ba8a-a43b5fe0121e"
"154" "Adele" "1de93a63-3a9f-443a-ba8a-a43b5fe0121e"
"155" "Milman, Sophie" NA
"156" "Milman, Sophie" NA
"157" "The Pretenders" "75ffaf7d-46ee-4794-a405-9ec20c0c1696"
"158" "The Pretenders" "75ffaf7d-46ee-4794-a405-9ec20c0c1696"
"159" "The Pretenders" "75ffaf7d-46ee-4794-a405-9ec20c0c1696"
"160" "Sheryl Crow" "07934bbf-6dcf-443c-88c0-32d7fefa6b4f"
"161" "Bush" "6d6d62b2-cff7-447b-ab26-72910aa15c31"
"162" "Tom Petty" "5ca3f318-d028-4151-ac73-78e2b2d6cdcc"
"163" "Eleventh Dream Day" "751b1385-9595-46ee-b634-8f90f892682a"
"164" "Korn" "ac865b2e-bba8-4f5a-8756-dd40d5e39f46"
"165" "Jonny Lang" "6a60adeb-c68a-4efd-b16f-04da75a866a5"
"166" "Stone Temple Pilots" "8c32bb01-58a3-453b-8050-8c0620edb0e5"
"167" "Nirvana" "5b11f4ce-a62d-471e-81fc-a69a8278c7da"
"168" "Annie Lennox" "3e30aebd-0557-4cfd-8fb9-3945afa5d72b"
"169" "Annie Lennox" "3e30aebd-0557-4cfd-8fb9-3945afa5d72b"
"170" "The Bangles" "a5b789e2-11dd-4658-8ae2-013b4d009ee7"
"171" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"172" "The Bangles" "a5b789e2-11dd-4658-8ae2-013b4d009ee7"
"173" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"174" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"175" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"176" "U2" "704acdbb-1415-4782-b0b6-0596b8c55e46"
"177" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"178" "U2" "704acdbb-1415-4782-b0b6-0596b8c55e46"
"179" "Elvis Costello" "02f1d12d-b733-47f1-aba6-f4cc6d290eb7"
"180" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"181" "Pink Floyd" "83d91898-7763-47d7-b03b-b92132375c47"
"182" "Elvis Costello" "02f1d12d-b733-47f1-aba6-f4cc6d290eb7"
"183" "Pink Floyd" "83d91898-7763-47d7-b03b-b92132375c47"
"184" "George Winston" "a6b93c3c-88bc-431c-a46c-155dee9371aa"
"185" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"186" "George Winston" "a6b93c3c-88bc-431c-a46c-155dee9371aa"
"187" "Alice Cooper" "193ffea8-3731-49ca-84a7-b7806692a69e"
"188" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"189" "Alice Cooper" "193ffea8-3731-49ca-84a7-b7806692a69e"
"190" "Van Halen" "b665b768-0d83-4363-950c-31ed39317c15"
"191" "Queen" "0383dadf-2a4e-4d10-a46a-e9e041da8eb3"
"192" "Van Halen" "b665b768-0d83-4363-950c-31ed39317c15"
"193" "Queen" "0383dadf-2a4e-4d10-a46a-e9e041da8eb3"
"194" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"195" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"196" "Prince" "070d193a-845c-479f-980e-bef15710653e"
"197" "Prince" "070d193a-845c-479f-980e-bef15710653e"
"198" "The Rolling Stones" "b071f9fa-14b0-4217-8e97-eb41da73f598"
"199" "The Rolling Stones" "b071f9fa-14b0-4217-8e97-eb41da73f598"
"200" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"201" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"202" "Dishwalla" "d6cd2165-7877-4ca7-ace9-34dacadaf393"
"203" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"204" "Dishwalla" "d6cd2165-7877-4ca7-ace9-34dacadaf393"
"205" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"206" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"207" "Sheryl Crow" "07934bbf-6dcf-443c-88c0-32d7fefa6b4f"
"208" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
